track_id,track_name,artists,track_genre,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
493QaNbrvbEiQdPH9hDP6z,Slow Motion,AMARIA BB,j-dance,71,0.733,0.479,0.301,0.575,0.00053,0.0831,0.485,-9.27,88.742
5Nybr2NCZrKAOk7Eu2YitB,Beg for You,Charli XCX;Rina Sawayama,electro,0,0.788,0.945,0.0599,0.223,2.97e-06,0.115,0.466,-5.091,128.036
1UnlBvfKYZ22zCx0gbSsgX,Sincerely,TRUE,anime,41,0.417,0.846,0.0594,0.0311,0.0,0.233,0.466,-3.377,143.994
0yu7YRpQDcSJhX9DEc1eya,"Singing Birds, Natural Background Music for Babies",Relaxation Meditation Songs Divine,sleep,39,0.276,0.0151,0.0611,0.973,0.867,0.0783,0.12,-29.834,102.437
0zACuA5TckBs58Vc8iwFYx,Somewhere Only We Know,Keane,piano,2,0.453,0.655,0.0257,0.0794,7.06e-06,0.0849,0.366,-4.22,172.01
4RFZf8MdqN4oHGFXsFkYDj,Show Me Love (2020 Remaster) - StoneBridge Club Mix,Robin S;StoneBridge,disco,42,0.787,0.892,0.0588,0.0936,0.0101,0.122,0.704,-5.379,122.688
1mBsA7LPkVA9SuHEJdcE53,Tilt,Bihler,dub,48,0.411,0.566,0.0312,0.0039,0.395,0.245,0.348,-10.066,139.978
7ed2Ed5z0vMM4bqnZpWKK6,Eleva,Big Up,r-n-b,45,0.736,0.665,0.0487,0.0466,0.0,0.164,0.563,-6.427,94.981
1gV0hgMNdpSWeW7ZjSUKnX,Afterhours feat. Diplo & Nina Sky,TroyBoi;Diplo;Nina Sky,edm,58,0.74,0.831,0.0423,0.089,0.0,0.0837,0.357,-3.828,91.026
35msHwn81uKQS5Jn783oSU,Revelation Song - Live,Passion;Kari Jobe,world-music,46,0.211,0.558,0.0343,0.0448,2.75e-05,0.351,0.0871,-6.056,127.187
2gV3PVl3vcZglRGmOfyH1w,Hey Metallica,Archagathus,grindcore,13,0.211,0.968,0.101,2.55e-05,0.725,0.276,0.179,-6.378,116.232
6rurduYegrf5XSZrphuyF2,Circles,SEVENTEEN,k-pop,67,0.65,0.456,0.0299,0.659,0.0,0.122,0.475,-5.742,82.063
5hkZyWkafKoQW4eGwaJWFF,Home,MR TOUT LE MONDE,french,59,0.707,0.541,0.0421,0.512,0.395,0.112,0.0338,-12.621,120.01
4pSj48vhbXwYvf2zbD1WJa,The Boxer - DFA Mix Edit,The Chemical Brothers,breakbeat,15,0.714,0.892,0.0425,0.0102,0.85,0.32,0.876,-5.258,96.997
5mcxpGvbTqusAuJNYGiO4O,We've Got A Good Thing Going,Sugar Minott,dancehall,39,0.849,0.525,0.197,0.164,0.0,0.0399,0.877,-6.644,78.741
3EN8rqw3foBKi6Ki89hztW,Bicycle - Radio Mix,Vybz Kartel,j-dance,19,0.568,0.686,0.297,0.0306,0.0,0.362,0.274,-8.247,102.79
1rLBRiCpwMRafxSwkGkbe5,Дождь и я,Valery Obodzinsky,romance,7,0.46,0.287,0.0541,0.822,0.0,0.0687,0.668,-13.488,85.614
1s7eYefT5IDEWrmzAspJBe,"Champion Deejay - Serial Killaz, Sub Zero & Warhead Remix","Top Cat;Serial Killaz, Sub Zero & Warhead",drum-and-bass,17,0.805,0.895,0.293,0.0313,3.08e-06,0.395,0.598,-1.426,87.333
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth;Selena Gomez,pop,82,0.728,0.563,0.134,0.621,0.0,0.179,0.352,-8.053,100.017
31aVGAyU43vQYxYyCmfaQI,Slow Me,Bush,grunge,13,0.469,0.911,0.0643,0.000606,2.2e-05,0.138,0.424,-3.136,132.066
0eQCJ9h7DcOyKiy0Uu3UL1,Anomic Ritual,Beshenitar,iranian,1,0.0647,0.996,0.392,0.0355,8.62e-06,0.198,0.03,-4.623,206.761
0nKhpvNOgd6Ix37bSlJXNe,Symbolic Virtue,Paradise Lost,goth,22,0.426,0.864,0.0621,1.99e-05,0.652,0.0797,0.148,-7.294,115.869
5OiONTndVC5YOMXg6VC5xs,"""Eugene Onegin"" Ariozo Of Onegin",Nikolay Kopylov,romance,0,0.443,0.514,0.0924,0.988,0.00187,0.0918,0.244,-8.068,100.752
10F7heFOB5AW5YNQdJPKnq,Sereníssima,Legião Urbana,mpb,43,0.376,0.768,0.0342,0.00795,0.00435,0.355,0.86,-13.587,174.135
5fwSHlTEWpluwOM0Sxnh5k,Pepas,Farruko,reggaeton,86,0.762,0.766,0.0343,0.00776,6.98e-05,0.128,0.442,-3.955,130.001
49Gfk8HqWfFce5YDMfhzFX,KARAMBOL,MAW,turkish,46,0.743,0.571,0.0446,0.633,0.0017,0.129,0.317,-6.293,132.061
56YLNejnyHdf3yiJg8fDUp,Rhumance,Vald,french,34,0.52,0.775,0.392,0.105,1.57e-05,0.084,0.651,-6.284,82.89
0jjANtMHBQSIfsrZ1YnnyB,Deep in House - Jesus Jackson Dark Remix,Roland Clark;Jesus Jackson,garage,0,0.813,0.752,0.0781,0.0135,0.0237,0.0597,0.459,-8.636,126.998
6ST2sndt6ieETDBzOSR063,El Rápido Speedy Gonzalez,Manolo Muñoz,rock-n-roll,40,0.512,0.598,0.0628,0.569,0.0,0.297,0.747,-5.868,146.995
3ohxPqZyB74W6ZWFHJdTWk,Stay With You - 英文版,JJ Lin;Stefanie Sun,mandopop,49,0.308,0.302,0.0343,0.86,0.0,0.121,0.425,-7.874,170.841
1pW5BQT2ltq0NPSlbkev0v,Pablo,King,hip-hop,66,0.731,0.73,0.123,0.411,0.0,0.052,0.503,-6.302,79.999
2HbYLDA1SigY1ilC94ieVu,American Sports,Arctic Monkeys,garage,54,0.372,0.865,0.0513,0.00169,0.00293,0.127,0.594,-4.288,176.689
0JWpbl3Ppr71ONy6VDP5vu,Hold Me Now,Caskets,metalcore,55,0.498,0.92,0.0497,0.00331,2.77e-06,0.142,0.346,-6.465,140.049
5DZwfsbwZXnKuUPAvrzipC,Schifoan,Lorenz Büffel,party,0,0.722,0.997,0.0424,0.042,0.0,0.301,0.967,-2.58,130.952
54nsNmxvp1ZxWcbKTcJynp,"Deceiver, Deceiver",Arch Enemy,death-metal,55,0.185,0.983,0.235,1.66e-05,0.191,0.197,0.102,-7.301,178.864
67mtN6BlsJR0LVyzvNZnGt,Tonight's Da Night,Redman,hardcore,63,0.697,0.687,0.379,0.26,4.8e-05,0.403,0.866,-11.111,90.247
46lyJh9GYmWsHez3EsvmAx,Rise Up (feat. Vamero),VINAI;VAMERO,house,71,0.648,0.927,0.049,0.011,0.0,0.162,0.361,-3.633,126.037
1msphInQ8bBBQGFZkll7FX,En Que Estrella Estara,Nena Daconte,spanish,60,0.73,0.378,0.183,0.279,1.67e-05,0.0869,0.697,-7.441,170.044
5lTqpWZJbOUhusVlGtTLWn,It's Not Christmas Till Somebody Cries,Carly Rae Jepsen,electro,0,0.793,0.666,0.0598,0.118,2.48e-05,0.296,0.783,-6.195,119.985
0NVOTV0nqsndWzBmMwRFOS,天外來物,Joker Xue,mandopop,55,0.587,0.474,0.0369,0.434,7.81e-06,0.354,0.367,-7.107,135.606
0pnulKmG8ETBuzY2NUoxRO,Sensual Girl,Mc Davi;Costa Gold,funk,44,0.808,0.399,0.245,0.243,0.0,0.12,0.384,-10.484,122.899
4FL8i7miD18FuMN08XGKcM,"Takkunu Takkunu - From ""Mr. Local""",Hiphop Tamizha;Anirudh Ravichander,hip-hop,62,0.811,0.587,0.0872,0.0829,0.0,0.173,0.758,-10.091,110.027
7og8AbGlEOEA3bQY6cjLCh,Happy People Never Fantasize,Broder Daniel,goth,25,0.38,0.946,0.0564,0.0416,0.0669,0.91,0.379,-4.718,133.169
0w91MsXVQvuTdKf9BKg6f6,I Get Lonely In A Hurry,George Jones,honky-tonk,13,0.527,0.542,0.0329,0.583,0.0,0.0768,0.924,-6.801,156.421
5ARrtxJLVCeTv5TWo1oKgC,In The Waiting Line,Zero 7;Sophie Barker,trip-hop,63,0.561,0.33,0.0268,0.76,0.134,0.106,0.378,-13.51,79.01
6MoTeX5dtuPZ3hwaecuBkz,Purple Noise,Boris Brejcha,german,60,0.88,0.477,0.0732,0.00143,0.627,0.0922,0.209,-10.947,125.017
3wjQZWJAeEmb7Z3CdsNajq,In A Sentimental Mood,Duke Ellington;John Coltrane,jazz,0,0.445,0.278,0.0313,0.914,0.00577,0.101,0.262,-11.882,99.058
